time_s,intensity
1717198200.0,0.0
1717200000.0,0.0
1717201800.0,0.0
1717203600.0,0.0
1717205400.0,0.0
1717207200.0,0.0
1717209000.0,0.0
1717210800.0,0.0
1717212600.0,0.0
1717214400.0,0.0
1717216200.0,0.0
1717218000.0,0.0
1717219800.0,0.0
1717221600.0,0.0
1717223400.0,1.0
1717225200.0,1.0
1717227000.0,1.0
1717228800.0,1.0
1717230600.0,3.0
1717232400.0,3.0
1717234200.0,4.0
1717236000.0,4.0
1717237800.0,4.0
1717239600.0,2.0
1717241400.0,1.0
1717243200.0,0.0
1717245000.0,0.0
1717246800.0,0.0
1717248600.0,0.0
1717250400.0,0.0
1717252200.0,0.0
1717254000.0,0.0
1717255800.0,0.0
1717257600.0,0.0
1717259400.0,0.0
1717261200.0,0.0
1717263000.0,0.0
1717264800.0,0.0
1717266600.0,0.0
1717268400.0,0.0
1717270200.0,0.0
1717272000.0,0.0
1717273800.0,0.0
1717275600.0,1.0
1717277400.0,1.0
1717279200.0,0.0
1717281000.0,0.0
1717282800.0,0.0
1717284600.0,0.0
1717286400.0,0.0
1717288200.0,0.0
1717290000.0,0.0
1717291800.0,0.0
1717293600.0,0.0
1717295400.0,0.0
1717297200.0,0.0
1717299000.0,0.0
1717300800.0,0.0
1717302600.0,0.0
1717304400.0,0.0
1717306200.0,0.0
1717308000.0,0.0
1717309800.0,0.0
1717311600.0,0.0
1717313400.0,0.0
1717315200.0,0.0
1717317000.0,0.0
1717318800.0,0.0
1717320600.0,0.0
1717322400.0,0.0
1717324200.0,0.0
1717326000.0,0.0
1717327800.0,0.0
1717329600.0,0.0
1717331400.0,0.0
1717333200.0,0.0
1717335000.0,0.0
1717336800.0,0.0
1717338600.0,0.0
1717340400.0,0.0
1717342200.0,0.0
1717344000.0,0.0
1717345800.0,0.0
1717347600.0,0.0
1717349400.0,0.0
1717351200.0,0.0
1717353000.0,0.0
1717354800.0,0.0
1717356600.0,0.0
1717358400.0,0.0
1717360200.0,0.0
1717362000.0,0.0
1717363800.0,0.0
1717365600.0,0.0
1717367400.0,0.0
1717369200.0,0.0
1717371000.0,0.0
1717372800.0,0.0
1717374600.0,0.0
1717376400.0,0.0
1717378200.0,0.0
1717380000.0,0.0
1717381800.0,0.0
1717383600.0,0.0
1717385400.0,0.0
1717387200.0,0.0
1717389000.0,0.0
1717390800.0,0.0
1717392600.0,0.0
1717394400.0,0.0
1717396200.0,0.0
1717398000.0,0.0
1717399800.0,0.0
1717401600.0,0.0
1717403400.0,0.0
1717405200.0,0.0
1717407000.0,0.0
1717408800.0,0.0
1717410600.0,0.0
1717412400.0,0.0
1717414200.0,0.0
1717416000.0,0.0
1717417800.0,0.0
1717419600.0,0.0
1717421400.0,0.0
1717423200.0,0.0
1717425000.0,0.0
1717426800.0,0.0
1717428600.0,0.0
1717430400.0,0.0
1717432200.0,0.0
1717434000.0,0.0
1717435800.0,0.0
1717437600.0,0.0
1717439400.0,0.0
1717441200.0,0.0
1717443000.0,0.0
1717444800.0,0.0
1717446600.0,0.0
1717448400.0,0.0
1717450200.0,0.0
1717452000.0,0.0
1717453800.0,0.0
1717455600.0,0.0
1717457400.0,0.0
1717459200.0,0.0
1717461000.0,0.0
1717462800.0,0.0
1717464600.0,0.0
1717466400.0,0.0
1717468200.0,0.0
1717470000.0,0.0
1717471800.0,0.0
1717473600.0,0.0
1717475400.0,0.0
1717477200.0,0.0
1717479000.0,0.0
1717480800.0,0.0
1717482600.0,0.0
1717484400.0,0.0
1717486200.0,0.0
1717488000.0,0.0
1717489800.0,0.0
1717491600.0,0.0
1717493400.0,0.0
1717495200.0,0.0
1717497000.0,0.0
1717498800.0,0.0
1717500600.0,0.0
1717502400.0,0.0
1717504200.0,0.0
1717506000.0,0.0
1717507800.0,0.0
1717509600.0,0.0
1717511400.0,0.0
1717513200.0,0.0
1717515000.0,0.0
1717516800.0,0.0
1717518600.0,0.0
1717520400.0,0.0
1717522200.0,0.0
1717524000.0,0.0
1717525800.0,0.0
1717527600.0,0.0
1717529400.0,0.0
1717531200.0,0.0
1717533000.0,0.0
1717534800.0,0.0
1717536600.0,0.0
1717538400.0,0.0
1717540200.0,0.0
1717542000.0,0.0
1717543800.0,0.0
1717545600.0,0.0
1717547400.0,0.0
1717549200.0,0.0
1717551000.0,0.0
1717552800.0,0.0
1717554600.0,0.0
1717556400.0,0.0
1717558200.0,0.0
1717560000.0,0.0
1717561800.0,0.0
1717563600.0,0.0
1717565400.0,0.0
1717567200.0,0.0
1717569000.0,0.0
1717570800.0,0.0
1717572600.0,0.0
1717574400.0,0.0
1717576200.0,0.0
1717578000.0,0.0
1717579800.0,0.0
1717581600.0,0.0
1717583400.0,0.0
1717585200.0,0.0
1717587000.0,0.0
1717588800.0,0.0
1717590600.0,0.0
1717592400.0,0.0
1717594200.0,0.0
1717596000.0,0.0
1717597800.0,0.0
1717599600.0,0.0
1717601400.0,0.0
1717603200.0,0.0
1717605000.0,0.0
1717606800.0,0.0
1717608600.0,0.0
1717610400.0,0.0
1717612200.0,0.0
1717614000.0,0.0
1717615800.0,0.0
1717617600.0,0.0
1717619400.0,0.0
1717621200.0,0.0
1717623000.0,0.0
1717624800.0,0.0
1717626600.0,0.0
1717628400.0,0.0
1717630200.0,0.0
1717632000.0,0.0
1717633800.0,0.0
1717635600.0,0.0
1717637400.0,0.0
1717639200.0,0.0
1717641000.0,0.0
1717642800.0,0.0
1717644600.0,0.0
1717646400.0,0.0
1717648200.0,0.0
1717650000.0,0.0
1717651800.0,0.0
1717653600.0,0.0
1717655400.0,0.0
1717657200.0,0.0
1717659000.0,0.0
1717660800.0,0.0
1717662600.0,0.0
1717664400.0,0.0
1717666200.0,0.0
1717668000.0,0.0
1717669800.0,0.0
1717671600.0,0.0
1717673400.0,0.0
1717675200.0,0.0
1717677000.0,0.0
1717678800.0,0.0
1717680600.0,0.0
1717682400.0,0.0
1717684200.0,0.0
1717686000.0,0.0
1717687800.0,0.0
1717689600.0,0.0
1717691400.0,0.0
1717693200.0,0.0
1717695000.0,0.0
1717696800.0,0.0
1717698600.0,0.0
1717700400.0,0.0
1717702200.0,0.0
1717704000.0,0.0
1717705800.0,0.0
1717707600.0,0.0
1717709400.0,0.0
1717711200.0,0.0
1717713000.0,0.0
1717714800.0,0.0
1717716600.0,0.0
1717718400.0,0.0
1717720200.0,0.0
1717722000.0,0.0
1717723800.0,0.0
1717725600.0,0.0
1717727400.0,0.0
1717729200.0,0.0
1717731000.0,0.0
1717732800.0,0.0
1717734600.0,0.0
1717736400.0,0.0
1717738200.0,0.0
1717740000.0,0.0
1717741800.0,0.0
1717743600.0,0.0
1717745400.0,0.0
1717747200.0,0.0
1717749000.0,0.0
1717750800.0,0.0
1717752600.0,0.0
1717754400.0,0.0
1717756200.0,0.0
1717758000.0,0.0
1717759800.0,0.0
1717761600.0,0.0
1717763400.0,0.0
1717765200.0,0.0
1717767000.0,0.0
1717768800.0,0.0
1717770600.0,0.0
1717772400.0,0.0
1717774200.0,0.0
1717776000.0,0.0
1717777800.0,0.0
1717779600.0,0.0
1717781400.0,0.0
1717783200.0,0.0
1717785000.0,0.0
1717786800.0,0.0
1717788600.0,0.0
1717790400.0,0.0
1717792200.0,0.0
1717794000.0,0.0
1717795800.0,0.0
1717797600.0,0.0
1717799400.0,0.0
1717801200.0,0.0
1717803000.0,0.0
1717804800.0,0.0
1717806600.0,0.0
1717808400.0,0.0
1717810200.0,0.0
1717812000.0,0.0
1717813800.0,0.0
1717815600.0,0.0
1717817400.0,0.0
1717819200.0,0.0
1717821000.0,0.0
1717822800.0,0.0
1717824600.0,0.0
1717826400.0,0.0
1717828200.0,0.0
1717830000.0,0.0
1717831800.0,0.0
1717833600.0,0.0
1717835400.0,0.0
1717837200.0,0.0
1717839000.0,0.0
1717840800.0,0.0
1717842600.0,0.0
1717844400.0,0.0
1717846200.0,0.0
1717848000.0,0.0
1717849800.0,0.0
1717851600.0,0.0
1717853400.0,0.0
1717855200.0,0.0
1717857000.0,0.0
1717858800.0,0.0
1717860600.0,0.0
1717862400.0,0.0
1717864200.0,0.0
1717866000.0,0.0
1717867800.0,0.0
1717869600.0,0.0
1717871400.0,0.0
1717873200.0,0.0
1717875000.0,0.0
1717876800.0,0.0
1717878600.0,0.0
1717880400.0,0.0
1717882200.0,0.0
1717884000.0,0.0
1717885800.0,0.0
1717887600.0,0.0
1717889400.0,0.0
1717891200.0,0.0
1717893000.0,0.0
1717894800.0,0.0
1717896600.0,0.0
1717898400.0,0.0
1717900200.0,0.0
1717902000.0,0.0
1717903800.0,0.0
